loss,binary_accuracy,false_negatives,false_positives,true_negatives,true_positives,AUC_ROC,AUC_PR,val_loss,val_binary_accuracy,val_false_negatives,val_false_positives,val_true_negatives,val_true_positives,val_AUC_ROC,val_AUC_PR
0.4866252839565277,0.8876505494117737,1957.0,23094.0,181407.0,16516.0,0.9577263593673706,0.7285381555557251,0.21300649642944336,0.9166666865348816,757.0,1732.0,18412.0,8967.0,0.972240686416626,0.9386016130447388
0.3778572082519531,0.9083480834960938,1227.0,19209.0,185292.0,17246.0,0.9734812378883362,0.7816598415374756,0.2214273065328598,0.9173697829246521,609.0,1859.0,18285.0,9115.0,0.9735560417175293,0.941288948059082
0.3420584201812744,0.9172683954238892,1039.0,17408.0,187093.0,17434.0,0.9775704741477966,0.7943379878997803,0.16651958227157593,0.9351145029067993,792.0,1146.0,18998.0,8932.0,0.98069828748703,0.9549286365509033
0.31996405124664307,0.9229910373687744,936.0,16235.0,188266.0,17537.0,0.9798651337623596,0.8031474351882935,0.1775936782360077,0.9375585913658142,231.0,1634.0,18510.0,9493.0,0.9820693731307983,0.9575086236000061
0.31010761857032776,0.9260855317115784,892.0,15589.0,188912.0,17581.0,0.980955958366394,0.8105162978172302,0.19742268323898315,0.9329047799110413,406.0,1598.0,18546.0,9318.0,0.9773401021957397,0.947239100933075
0.303783655166626,0.9275206923484802,863.0,15298.0,189203.0,17610.0,0.9814959764480591,0.8110071420669556,0.1692928522825241,0.9443551898002625,246.0,1416.0,18728.0,9478.0,0.9821234941482544,0.9600372910499573
0.29788780212402344,0.9293370246887207,826.0,14930.0,189571.0,17647.0,0.9821518063545227,0.8167700171470642,0.1415928304195404,0.9528257846832275,336.0,1073.0,19071.0,9388.0,0.9843502640724182,0.9649832248687744
0.29019421339035034,0.9315659999847412,820.0,14439.0,190062.0,17653.0,0.982885479927063,0.8207828998565674,0.15580740571022034,0.9490759372711182,254.0,1267.0,18877.0,9470.0,0.9847859144210815,0.9624340534210205
0.2820234000682831,0.9345529079437256,768.0,13825.0,190676.0,17705.0,0.9841113686561584,0.8303858041763306,0.14898864924907684,0.9523904919624329,280.0,1142.0,19002.0,9444.0,0.984589695930481,0.9647018909454346
0.27505049109458923,0.9355440735816956,765.0,13607.0,190894.0,17708.0,0.9845775961875916,0.8393868207931519,0.15711194276809692,0.9484397768974304,429.0,1111.0,19033.0,9295.0,0.9835000038146973,0.9608066082000732
0.2722463607788086,0.9365127682685852,800.0,13356.0,191145.0,17673.0,0.9851877093315125,0.8479891419410706,0.13517406582832336,0.9582496285438538,226.0,1021.0,19123.0,9498.0,0.9857224225997925,0.9652827382087708
0.2634313404560089,0.9391587972640991,757.0,12809.0,191692.0,17716.0,0.9859229326248169,0.8514110445976257,0.15809708833694458,0.9520891904830933,256.0,1175.0,18969.0,9468.0,0.9840050935745239,0.9631814360618591
0.2584920823574066,0.9406343102455139,736.0,12501.0,192000.0,17737.0,0.9862173795700073,0.8524731397628784,0.16976343095302582,0.9498125314712524,181.0,1318.0,18826.0,9543.0,0.9840141534805298,0.9603503942489624
0.2639407515525818,0.9388448596000671,754.0,12882.0,191619.0,17719.0,0.9856759309768677,0.8476929664611816,0.19793294370174408,0.9358510971069336,268.0,1648.0,18496.0,9456.0,0.9792400598526001,0.946473240852356
0.25426459312438965,0.9414281249046326,696.0,12364.0,192137.0,17777.0,0.9866331219673157,0.8545176982879639,0.1286323219537735,0.9626021385192871,324.0,793.0,19351.0,9400.0,0.9864016771316528,0.9709455966949463
0.2574029564857483,0.9413608908653259,720.0,12355.0,192146.0,17753.0,0.9865588545799255,0.85356605052948,0.14968524873256683,0.9522231221199036,239.0,1188.0,18956.0,9485.0,0.9830740094184875,0.9594144225120544
0.25461214780807495,0.94086754322052,714.0,12471.0,192030.0,17759.0,0.9866819977760315,0.85588538646698,0.16784587502479553,0.9481719732284546,429.0,1119.0,19025.0,9295.0,0.9826515913009644,0.9612167477607727
0.2500350773334503,0.9421008825302124,694.0,12216.0,192285.0,17779.0,0.986905574798584,0.8566979169845581,0.17317160964012146,0.9515869617462158,198.0,1248.0,18896.0,9526.0,0.9838157892227173,0.9610248804092407
0.2557578980922699,0.9415357708930969,737.0,12299.0,192202.0,17736.0,0.9866053462028503,0.8537535071372986,0.1627827286720276,0.9488415718078613,305.0,1223.0,18921.0,9419.0,0.9831182360649109,0.961028516292572
0.24972385168075562,0.9423430562019348,718.0,12138.0,192363.0,17755.0,0.987004280090332,0.8545891642570496,0.14515244960784912,0.9557720422744751,292.0,1029.0,19115.0,9432.0,0.9850999116897583,0.9668055772781372
